Category,Industry,Profession,Occupation,Race,Employed,Percent
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers,White,276,0.23
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",White,250,0.21
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Janitors and building cleaners,White,1676,1.41
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners,White,1064,0.89
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Pest control workers,White,81,0.07
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,White,1094,0.92
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers,Black,52,0.28
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Black,21,0.11
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Janitors and building cleaners,Black,412,2.19
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners,Black,256,1.36
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Pest control workers,Black,8,0.04
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,Black,104,0.55
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers,Asian,11,0.11
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Asian,3,0.03
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Janitors and building cleaners,Asian,77,0.78
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners,Asian,60,0.61
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Pest control workers,Asian,1,0.01
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers,Asian,11,0.11
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers,Hispanic,96,0.36
Service,Building maintenance,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Hispanic,80,0.3
